Case,Dataset,Food set size (FSS),Variable,PTFA,Github Label
,,,,,
1,F15-49,3099,grams,1,F1_01
2,F15-49,3099,grams,2,F1_02
3,F15-49,3099,No_days,1,F1_03
4,F15-49,3099,No_days,2,F1_04
5,F15-49,3099,g/kg,1,F1_05
6,F15-49,3099,g/kg,2,F1_06
7,F15-49,9450,grams,1,F1_07
8,F15-49,9450,grams,2,F1_08
9,F15-49,9450,No_days,1,F1_09
10,F15-49,9450,No_days,2,F1_10
11,F15-49,9450,g/kg,1,F1_11
12,F15-49,9450,g/kg,2,F1_12
13,F50+,3099,grams,1,F5_01
14,F50+,3099,grams,2,F5_02
15,F50+,3099,No_days,1,F5_03
16,F50+,3099,No_days,2,F5_04
17,F50+,3099,g/kg,1,F5_05
18,F50+,3099,g/kg,2,F5_06
19,F50+,9450,grams,1,F5_07
20,F50+,9450,grams,2,F5_08
21,F50+,9450,No_days,1,F5_09
22,F50+,9450,No_days,2,F5_10
23,F50+,9450,g/kg,1,F5_11
24,F50+,9450,g/kg,2,F5_12
25,M66+,3099,grams,1,F1_01
26,M66+,3099,grams,2,F1_02
27,M66+,3099,No_days,1,F1_03
28,M66+,3099,No_days,2,F1_04
29,M66+,3099,g/kg,1,F1_05
30,M66+,3099,g/kg,2,F1_06
31,M66+,9450,grams,1,F1_07
32,M66+,9450,grams,2,F1_08
33,M66+,9450,No_days,1,F1_09
34,M66+,9450,No_days,2,F1_10
35,M66+,9450,g/kg,1,F1_11
36,M66+,9450,g/kg,2,F1_12
