Calculated,Variable/Feature
n,NA food codes
n,A food codes
Cohens_d,Protein
Cohens_d,Total.Fat
Cohens_d,Carbohydrate
Cohens_d,Alcohol
Cohens_d,Water
Cohens_d,Caffeine
Cohens_d,Theobromine
Cohens_d,Sugars..total
Cohens_d,Fiber..total.dietary
Cohens_d,Calcium
Cohens_d,Iron
Cohens_d,Magnesium
Cohens_d,Phosphorus
Cohens_d,Potassium
Cohens_d,Sodium
Cohens_d,Zinc
Cohens_d,Copper
Cohens_d,Selenium
Cohens_d,Retinol
Cohens_d,Carotene..beta
Cohens_d,Carotene..alpha
Cohens_d,Vitamin.E..alpha.tocopherol.
Cohens_d,Vitamin.D..D2...D3.
Cohens_d,Cryptoxanthin..beta
Cohens_d,Lycopene
Cohens_d,Lutein...zeaxanthin
Cohens_d,Vitamin.C
Cohens_d,Thiamin
Cohens_d,Riboflavin
Cohens_d,Niacin
Cohens_d,Vitamin.B.6
Cohens_d,Folate..total
Cohens_d,Vitamin.B.12
Cohens_d,Choline..total
Cohens_d,Vitamin.K..phylloquinone.
Cohens_d,Folic.acid
Cohens_d,Folate..food
Cohens_d,Vitamin.E..added
Cohens_d,Vitamin.B.12..added
Cohens_d,Cholesterol
Cohens_d,Fatty.acids..total.saturated
Cohens_d,X4.00
Cohens_d,X6.00
Cohens_d,X8.00
Cohens_d,X10.00
Cohens_d,X12.00
Cohens_d,X14.00
Cohens_d,X16.00
Cohens_d,X18.00
Cohens_d,X18.01
Cohens_d,X18.02
Cohens_d,X18.03
Cohens_d,X20.04
Cohens_d,X22.6.n.3
Cohens_d,X16.01
Cohens_d,X18.04
Cohens_d,X20.01
Cohens_d,X20.5.n.3
Cohens_d,X22.01
Cohens_d,X22.5.n.3
Cohens_d,Fatty.acids..total.monounsaturated
Cohens_d,Fatty.acids..total.polyunsaturated
Cohens_d,min_FPro
Stan_diff_means,Protein
Stan_diff_means,Total.Fat
Stan_diff_means,Carbohydrate
Stan_diff_means,Alcohol
Stan_diff_means,Water
Stan_diff_means,Caffeine
Stan_diff_means,Theobromine
Stan_diff_means,Sugars..total
Stan_diff_means,Fiber..total.dietary
Stan_diff_means,Calcium
Stan_diff_means,Iron
Stan_diff_means,Magnesium
Stan_diff_means,Phosphorus
Stan_diff_means,Potassium
Stan_diff_means,Sodium
Stan_diff_means,Zinc
Stan_diff_means,Copper
Stan_diff_means,Selenium
Stan_diff_means,Retinol
Stan_diff_means,Carotene..beta
Stan_diff_means,Carotene..alpha
Stan_diff_means,Vitamin.E..alpha.tocopherol.
Stan_diff_means,Vitamin.D..D2...D3.
Stan_diff_means,Cryptoxanthin..beta
Stan_diff_means,Lycopene
Stan_diff_means,Lutein...zeaxanthin
Stan_diff_means,Vitamin.C
Stan_diff_means,Thiamin
Stan_diff_means,Riboflavin
Stan_diff_means,Niacin
Stan_diff_means,Vitamin.B.6
Stan_diff_means,Folate..total
Stan_diff_means,Vitamin.B.12
Stan_diff_means,Choline..total
Stan_diff_means,Vitamin.K..phylloquinone.
Stan_diff_means,Folic.acid
Stan_diff_means,Folate..food
Stan_diff_means,Vitamin.E..added
Stan_diff_means,Vitamin.B.12..added
Stan_diff_means,Cholesterol
Stan_diff_means,Fatty.acids..total.saturated
Stan_diff_means,X4.00
Stan_diff_means,X6.00
Stan_diff_means,X8.00
Stan_diff_means,X10.00
Stan_diff_means,X12.00
Stan_diff_means,X14.00
Stan_diff_means,X16.00
Stan_diff_means,X18.00
Stan_diff_means,X18.01
Stan_diff_means,X18.02
Stan_diff_means,X18.03
Stan_diff_means,X20.04
Stan_diff_means,X22.6.n.3
Stan_diff_means,X16.01
Stan_diff_means,X18.04
Stan_diff_means,X20.01
Stan_diff_means,X20.5.n.3
Stan_diff_means,X22.01
Stan_diff_means,X22.5.n.3
Stan_diff_means,Fatty.acids..total.monounsaturated
Stan_diff_means,Fatty.acids..total.polyunsaturated
Stan_diff_means,min_FPro
logit_p,Protein
logit_p,Total.Fat
logit_p,Carbohydrate
logit_p,Alcohol
logit_p,Water
logit_p,Caffeine
logit_p,Theobromine
logit_p,Sugars..total
logit_p,Fiber..total.dietary
logit_p,Calcium
logit_p,Iron
logit_p,Magnesium
logit_p,Phosphorus
logit_p,Potassium
logit_p,Sodium
logit_p,Zinc
logit_p,Copper
logit_p,Selenium
logit_p,Retinol
logit_p,Carotene..beta
logit_p,Carotene..alpha
logit_p,Vitamin.E..alpha.tocopherol.
logit_p,Vitamin.D..D2...D3.
logit_p,Cryptoxanthin..beta
logit_p,Lycopene
logit_p,Lutein...zeaxanthin
logit_p,Vitamin.C
logit_p,Thiamin
logit_p,Riboflavin
logit_p,Niacin
logit_p,Vitamin.B.6
logit_p,Folate..total
logit_p,Vitamin.B.12
logit_p,Choline..total
logit_p,Vitamin.K..phylloquinone.
logit_p,Folic.acid
logit_p,Folate..food
logit_p,Vitamin.E..added
logit_p,Vitamin.B.12..added
logit_p,Cholesterol
logit_p,Fatty.acids..total.saturated
logit_p,X4.00
logit_p,X6.00
logit_p,X8.00
logit_p,X10.00
logit_p,X12.00
logit_p,X14.00
logit_p,X16.00
logit_p,X18.00
logit_p,X18.01
logit_p,X18.02
logit_p,X18.03
logit_p,X20.04
logit_p,X22.6.n.3
logit_p,X16.01
logit_p,X18.04
logit_p,X20.01
logit_p,X20.5.n.3
logit_p,X22.01
logit_p,X22.5.n.3
logit_p,Fatty.acids..total.monounsaturated
logit_p,Fatty.acids..total.polyunsaturated
logit_p,min_FPro
